IMAGE,MEDICINE_NAME,GENERIC_NAME,split,image_path,prescription_id
0.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/0.png,P1000
1.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/1.png,P1001
2.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/2.png,P1002
3.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/3.png,P1003
4.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/4.png,P1004
5.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/5.png,P1005
6.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/6.png,P1006
7.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/7.png,P1007
8.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/8.png,P1008
9.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/9.png,P1009
10.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/10.png,P1010
11.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/11.png,P1011
12.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/12.png,P1012
13.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/13.png,P1013
14.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/14.png,P1014
15.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/15.png,P1015
16.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/16.png,P1016
17.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/17.png,P1017
18.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/18.png,P1018
19.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/19.png,P1019
20.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/20.png,P1020
