original_path,enhanced_path,psnr,ssim
/content/xray_data/XraysData/valid/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib/000115.png,/content/enhanced_images/xray_enhanced/000115.png,21.593953019925213,0.7466783801193714
/content/xray_data/XraysData/valid/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib/000117 (6).png,/content/enhanced_images/xray_enhanced/000117 (6).png,23.82721342524812,0.7056852598045174
/content/xray_data/XraysData/valid/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib/000114.png,/content/enhanced_images/xray_enhanced/000114.png,21.1408633229389,0.7344852519436074
/content/xray_data/XraysData/valid/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib/000112 (9).png,/content/enhanced_images/xray_enhanced/000112 (9).png,20.423558454469433,0.6873214408289666
/content/xray_data/XraysData/valid/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib/000111 (2).png,/content/enhanced_images/xray_enhanced/000111 (2).png,22.170543755818315,0.7207169191957048
/content/xray_data/XraysData/valid/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib/000115 (9).png,/content/enhanced_images/xray_enhanced/000115 (9).png,20.02415752912286,0.6991157740968235
/content/xray_data/XraysData/valid/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib/000109 (8).png,/content/enhanced_images/xray_enhanced/000109 (8).png,22.119108488595796,0.7313118693964878
/content/xray_data/XraysData/valid/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib/000116 (5).png,/content/enhanced_images/xray_enhanced/000116 (5).png,20.31083831979199,0.6917533827556129
/content/xray_data/XraysData/valid/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib/000116 (3).png,/content/enhanced_images/xray_enhanced/000116 (3).png,22.105794678770234,0.7177009649950966
/content/xray_data/XraysData/valid/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib/000108 (8).png,/content/enhanced_images/xray_enhanced/000108 (8).png,21.49805011937543,0.7440292672508643
/content/xray_data/XraysData/valid/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib/000110 (7).png,/content/enhanced_images/xray_enhanced/000110 (7).png,22.597952516886796,0.6721061072312675
/content/xray_data/XraysData/valid/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib/000115 (2).png,/content/enhanced_images/xray_enhanced/000115 (2).png,23.372032962091417,0.6971849956891434
/content/xray_data/XraysData/valid/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib/000113.png,/content/enhanced_images/xray_enhanced/000113.png,21.54624981898344,0.737521458282524
/content/xray_data/XraysData/valid/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib/000114 (10).png,/content/enhanced_images/xray_enhanced/000114 (10).png,21.464672778333416,0.7315351887306035
/content/xray_data/XraysData/valid/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib/000112 (2).png,/content/enhanced_images/xray_enhanced/000112 (2).png,20.828088566960375,0.7172855142189016
/content/xray_data/XraysData/valid/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib/000117.png,/content/enhanced_images/xray_enhanced/000117.png,22.678175931975883,0.6965698090066291
/content/xray_data/XraysData/valid/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib/000116 (9).png,/content/enhanced_images/xray_enhanced/000116 (9).png,22.132980648865136,0.7108037431078272
/content/xray_data/XraysData/valid/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib/000115 (5).png,/content/enhanced_images/xray_enhanced/000115 (5).png,22.024488970592486,0.709198871033031
